escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,truck,175.717,195.767,20.05,3.25,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,164.667,195.85,31.183,14.833,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bike,171.7,195.883,24.183,11.1,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,truck,169.683,196.15,26.467,11.433,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bike,174.717,197.733,23.017,7.85,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bike,180.75,197.75,17.0,3.567,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bus,172.717,198.367,25.65,9.9,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bus,178.733,200.7,21.967,5.367,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,182.75,201.533,18.783,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,car,184.75,203.65,18.9,3.033,3.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,car,177.733,209.783,32.05,17.8,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bike,181.75,209.783,28.033,13.233,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bike,189.75,209.783,20.033,7.15,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bus,162.667,209.817,47.15,31.367,3.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bus,190.75,211.783,21.033,2.633,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bus,179.75,211.933,32.183,13.933,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,truck,176.733,212.15,35.417,18.8,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bike,197.783,212.933,15.15,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bike,192.767,213.717,20.95,7.117,4.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,car,183.75,214.033,30.283,16.417,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bike,185.75,215.85,30.1,17.167,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,truck,187.75,218.467,30.717,12.25,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,191.767,225.783,34.017,16.767,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bike,196.767,225.783,29.017,16.45,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,186.75,225.8,39.05,18.783,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bus,193.767,225.8,32.033,14.667,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bike,198.783,227.733,28.95,12.967,1.5
