escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,181.633,211.817,30.183,15.383,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,189.633,211.817,22.183,9.3,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,179.633,211.833,32.2,13.95,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bus,162.583,211.85,49.267,33.483,3.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,197.65,212.8,15.15,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bus,190.633,213.817,23.183,4.8,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,176.633,214.183,37.55,20.933,3.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,192.633,215.75,23.117,9.283,4.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,183.633,216.067,32.433,18.567,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bike,185.633,217.883,32.25,19.317,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,191.633,225.817,34.183,16.933,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,196.65,225.817,29.167,16.617,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,186.633,225.833,39.2,18.933,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,193.633,225.833,32.2,14.833,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bike,198.65,227.767,29.117,13.133,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,203.667,227.817,24.15,6.217,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,188.633,227.983,39.35,22.3,4.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,201.65,227.983,26.333,11.583,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,200.65,229.7,29.05,10.9,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,208.683,229.75,21.067,7.567,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,194.633,229.867,35.233,19.317,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,202.667,230.0,27.333,12.083,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,195.633,231.717,36.083,19.8,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,206.683,232.0,25.317,9.567,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,209.683,233.017,23.333,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,199.65,233.767,34.117,15.767,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,207.683,234.017,26.333,10.067,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,car,204.683,239.817,35.133,19.367,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,187.633,239.85,52.217,33.75,3.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,205.683,239.85,34.167,12.85,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,213.683,241.833,28.15,12.133,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,212.683,241.883,29.2,13.867,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,truck,211.683,241.967,30.283,9.933,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,227.7,243.133,15.433,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,217.7,244.033,26.333,3.95,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,truck,214.683,244.183,29.5,8.417,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,218.7,244.183,25.483,5.667,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,215.7,245.8,30.1,14.417,6.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,226.7,247.233,20.533,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,230.717,247.7,16.983,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,219.7,253.817,34.117,17.033,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,220.7,253.833,33.133,12.367,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,210.683,253.85,43.167,18.983,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,216.7,253.85,37.15,17.9,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,222.7,255.667,32.967,15.533,1.5
